Site,Date,Time_collected,Sampling_direction,Measurement,Temp_C,Ms_cm,DO_percent,DO_ch,Ft,pH,YSI_Notes
Hoyo Hoyo,June_22,08:35,NW_SE,2,17.62,3.179,10.4,44.1,33.044,8.15,
Hoyo Hoyo,June_22,08:35,NW_SE,3,17.6,3.173,17.1,43.1,33.047,8.15,
Nhlanguleni,June_22,09:40,N_S,1,17.78,1.994,122.5,50.2,33.149,8.48,
Nhlanguleni,June_22,09:40,N_S,2,17.81,1.992,117.9,50.2,33.031,8.44,
Nhlanguleni,June_22,09:40,N_S,3,17.81,1.993,114.3,50.2,32.992,8.43,
Ngotso North,June_24,08:35,N_S,1,14.77,0.484,110.4,44.1,33.242,9.42,
Ngotso North,June_24,08:35,N_S,2,14.97,0.484,111.7,44.1,33.412,9.44,
Ngotso North,June_24,08:35,N_S,3,15.16,0.485,111.6,44.1,33.216,9.45,
Nyamahri,June_24,08:59,N_S,1,14.86,0.518,56.4,40,3.344,8.62,
Nyamahri,June_24,08:59,N_S,2,14.93,0.519,57.9,40,33.22,8.67,
Nyamahri,June_24,08:59,N_S,3,14.96,0.519,50.4,39,33.16,8.62,
Witpens,June_24,09:48,N_S,1,14.99,0.589,174.1,49.2,33.081,9.47,
Witpens,June_24,09:48,N_S,2,15.42,0.581,179.6,49.2,33.151,9.42,
Witpens,June_24,09:48,N_S,3,15.53,0.583,167.1,48.2,33.001,9.3,
Girivana,June_24,11:26,N_S,1,18.36,1.948,52.2,42,32.82,9.24,
Girivana,June_24,11:26,N_S,2,18.84,1.95,50.6,42,32.825,9.21,
Girivana,June_24,11:26,N_S,3,18.54,1.956,49.7,42,32.833,9.35,
De Laporte,June_26,10:00,N_S,1,19.84,3.023,117.9,47.1,33.278,9.08,
De Laporte,June_26,10:00,N_S,2,19.5,3.085,133.5,49.2,33.256,9.3,
De Laporte,June_26,10:00,N_S,3,19.73,3.083,134.9,49.2,33.255,9.31,
Nwaswitshaka,June_26,08:32,N_S,1,16.34,0.93,100.6,44.1,33.191,9.79,
Nwaswitshaka,June_26,08:32,N_S,2,16.1,0.842,112.3,45.1,33.185,9.6,
Nwaswitshaka,June_26,08:32,N_S,3,15.97,0.936,107.1,45.1,33.181,9.92,
Kwaggas Pan,June_26,09:15,E_W,1,16.73,1.752,112.9,45.1,33.152,9.51,
Kwaggas Pan,June_26,09:15,E_W,2,16.4,1.751,110.3,45.1,33.141,9.51,
Kwaggas Pan,June_26,09:15,E_W,3,16.36,1.751,112.6,45.1,33.137,9.51,
Imbali,June_29,08:20,W_E,1,16.06,2.42,45.6,40,32.836,8.13,
Imbali,June_29,08:20,W_E,2,16.07,2.431,44.6,41,32.836,8.17,
Imbali,June_29,08:20,W_E,3,16.09,2.425,45.5,41,32.833,8.17,
Hoyo Hoyo,June_29,08:54,NW_SE,1,17.72,3.009,50.6,40,32.806,8.26,
Hoyo Hoyo,June_29,08:54,NW_SE,2,17.87,3.004,43.2,40,32.801,8.25,
Hoyo Hoyo,June_29,08:54,NW_SE,3,17.93,3.014,33.8,40,32.799,8.24,
Nhlanguleni,June_29,12:16,N_S,1,25.52,1.982,137.5,49.2,32.756,8.1,
Nhlanguleni,June_29,12:16,N_S,2,25.47,1.97,130.1,50.2,32.745,8.07,
Nhlanguleni,June_29,12:16,N_S,3,25.58,1.971,137.3,50.2,32.746,8.06,
Nwaswitshaka,June_29,13:56,N_S,1,24.44,0.58,186.3,53.2,32.846,9.73,
Nwaswitshaka,June_29,13:56,N_S,2,24.01,0.94,199.6,53.3,32.835,9.95,
Nwaswitshaka,June_29,13:56,N_S,3,23.98,0.939,211.9,54.3,32.832,10.02,
Nwaswitshaka,June_30,10:31,N_S,1,19.02,0.905,124.8,44.1,33.107,9.67,
Nwaswitshaka,June_30,10:31,N_S,2,18.84,0.902,124.8,45.1,33.103,9.66,
Nwaswitshaka,June_30,10:31,N_S,3,18.88,0.9,124.3,44.1,33.099,9.66,
Ngotso North,July_1,08:36,N_S,1,17.06,0.446,111.1,40,33.319,9.39,
Ngotso North,July_1,08:36,N_S,2,17.29,0.493,105.5,40,33.318,9.46,
Ngotso North,July_1,08:36,N_S,3,17.42,0.493,108.7,40,33.315,9.51,
Nyamahri,July_1,08:50,N_S,1,17.46,0.539,70.2,38,33.249,8.63,
Nyamahri,July_1,08:50,N_S,2,17.46,0.537,74.8,38,33.255,8.66,
Nyamahri,July_1,08:50,N_S,3,17.62,0.543,65.8,38,33.262,8.64,
Witpens,July_1,09:33,N_S,1,18.24,0.6,165.7,46.1,33.192,9.36,
Witpens,July_1,09:33,N_S,2,19.06,0.584,136.7,43.1,33.193,8.99,
Witpens,July_1,09:33,N_S,3,19.53,0.566,116.8,42,33.193,8.97,
Girivana,July_1,11:05,N_S,1,21.32,1.755,77.8,42,33.095,9.31,
Girivana,July_1,11:05,N_S,2,22,1.818,73.9,40,33.092,9.21,
Girivana,July_1,11:05,N_S,3,22.24,1.816,71.7,41,33.075,9.2,
Nwaswitshaka,July_1,13:50,N_S,1,23.41,0.943,190,50.2,32.953,9.79,
Nwaswitshaka,July_1,13:50,N_S,2,23.24,0.93,177.7,48.2,32.953,9.74,
Nwaswitshaka,July_1,13:50,N_S,3,23.55,0.926,175.1,49.2,32.948,9.71,
Nwaswitshaka,July_2,10:38,N_S,1,18.82,0.909,117.8,41,33.125,9.63,
Nwaswitshaka,July_2,10:38,N_S,2,18.63,0.904,114.2,41,33.121,9.67,
Nwaswitshaka,July_2,10:38,N_S,3,18.51,0.903,112.7,41,33.117,9.67,
De Laporte,July_3,08:16,N_S,1,16.52,3.039,93.3,39,33.135,9.08,
De Laporte,July_3,08:16,N_S,2,16.56,3.04,92,39,33.131,9.13,
De Laporte,July_3,08:16,N_S,3,15.98,3.03,95.2,40,33.126,9.18,
Nwaswitshaka,July_3,09:50,N_S,1,17.93,0.915,104.6,40,33.144,9.71,
Nwaswitshaka,July_3,09:50,N_S,2,17.95,0.91,102.8,40,33.137,9.73,
Nwaswitshaka,July_3,09:50,N_S,3,17.83,0.91,105.5,40,33.133,9.74,
Imbali,July_6,08:10,W_E,1,15.45,2.458,60.8,36.9,32.898,8.08,
Imbali,July_6,08:10,W_E,2,15.66,2.451,23.4,34.9,32.893,8.15,
Imbali,July_6,08:10,W_E,3,15.56,2.475,21.7,34.9,32.891,8.17,
Hoyo Hoyo,July_6,08:46,NW_SE,1,16.82,2.982,40.5,35.9,32.861,8.39,
Hoyo Hoyo,July_6,08:46,NW_SE,2,16.84,2.896,40.1,35.9,32.856,8.38,
Hoyo Hoyo,July_6,08:46,NW_SE,3,16.83,2.99,37.2,35.9,32.856,8.39,
Orpen,July_6,10:25,N_S,1,17.5,0.458,105.2,36.9,32.541,8.98,
Orpen,July_6,10:25,N_S,2,17.62,0.451,99.1,35.9,32.537,8.88,
Orpen,July_6,10:25,N_S,3,17.25,0.449,95.7,36.9,32.536,8.84,
Nhlanguleni,July_6,12:12,N_S,1,22.44,2.037,126.2,41.8,32.887,8.19,
Nhlanguleni,July_6,12:12,N_S,2,22.29,2.026,122.1,40,32.881,8.2,
Nhlanguleni,July_6,12:12,N_S,3,22.4,2.025,128.9,41,32.883,8.31,
Ngotso North,July_8,08:10,N_S,1,18.07,0.522,101.7,41,33.316,9.2,
Ngotso North,July_8,08:10,N_S,2,18.17,0.511,94.3,40,33.313,9.2,
Ngotso North,July_8,08:10,N_S,3,18.43,0.51,87.5,40,33.314,9.22,
Nyamahri,July_8,08:51,N_S,1,18.25,0.534,79.5,38,33.256,8.83,
Nyamahri,July_8,08:51,N_S,2,18.2,0.563,74.8,36.9,33.254,8.81,
Nyamahri,July_8,08:51,N_S,3,18.44,0.561,76.5,38,33.254,8.81,
Witpens,July_8,09:38,N_S,1,18.33,0.708,63.9,35.9,33.164,8.51,
Witpens,July_8,09:38,N_S,2,18.99,0.694,57.5,35.9,33.161,8.53,
Witpens,July_8,09:38,N_S,3,19.34,0.67,68.7,36.9,33.168,8.59,
Satara West,July_8,10:10,N_S,1,20,0.547,110,40.6,33.263,8.91,
Satara West,July_8,10:10,N_S,2,19.97,0.549,95.3,39,33.258,8.91,
Satara West,July_8,10:10,N_S,3,20.11,0.555,94.5,39,33.254,8.94,
Girivana,July_8,11:10,N_S,1,20.77,1.891,88.2,39,33.026,9.34,
Girivana,July_8,11:10,N_S,2,20.63,1.895,89.6,39,33.017,9.35,
Girivana,July_8,11:10,N_S,3,20.76,1.899,87.6,39,33.021,9.35,
De Laporte,July_10,07:28,N_S,1,15.86,3.097,82.9,40,33.167,9.12,water level low
De Laporte,July_10,07:28,N_S,2,15.36,3.114,89.1,40,33.165,9.16,water level low
De Laporte,July_10,07:28,N_S,3,14.6,3.131,78.1,39,33.157,9.2,water level low
Kwaggas Pan,July_10,08:06,E_W,1,16.93,1.701,92.1,40,33.091,9.45,
Kwaggas Pan,July_10,08:06,E_W,2,16.84,1.701,91.4,39,33.093,9.45,
Kwaggas Pan,July_10,08:06,E_W,3,16.73,1.705,90.4,39,33.089,9.46,
Nwaswitshaka,July_10,09:09,N_S,1,18.34,0.814,75,38,33.179,9.27,
Nwaswitshaka,July_10,09:09,N_S,2,18.13,0.897,69.8,36.9,33.134,9.24,
Nwaswitshaka,July_10,09:09,N_S,3,17.72,0.902,60.8,36.9,33.127,9.22,
